sample_id,modality,subject_id,session_id,split,source_file,window_index,window_start_ms,window_end_ms,duration_ms,label_class,label_id,label_scheme,valid,valid_ratio,mask,feature_path,feature_shape,feature_dtype,extractor_name,extractor_version,error
01_P03_20231114_15_43_54_30,video,P03,P03_20231114_1543_54,val,"[""Upper_body_video_01/01_P03_20231114_15_43_54_30.mp4""]",0,0,10000,10000,No task,0,dcpt_video_6c_v1,true,1.000000,video_features_v1/01_P03_20231114_15_43_54_30.npz::valid_mask,video_features_v1/01_P03_20231114_15_43_54_30.npz,"[10, 512]",float32,torchvision_r3d_18,0.24.1_kinetics400_v1,
01_P04_20231115_18_45_03_21,video,P04,P04_20231115_1845_03,val,"[""Upper_body_video_01/01_P04_20231115_18_45_03_21.mp4""]",0,0,10000,10000,No task,0,dcpt_video_6c_v1,false,0.900000,video_features_v1/01_P04_20231115_18_45_03_21.npz::valid_mask,video_features_v1/01_P04_20231115_18_45_03_21.npz,"[10, 512]",float32,torchvision_r3d_18,0.24.1_kinetics400_v1,coverage_below_0.95
01_P04_20231115_18_47_32_15,video,P04,P04_20231115_1847_32,val,"[""Upper_body_video_01/01_P04_20231115_18_47_32_15.mp4""]",0,0,10000,10000,No task,0,dcpt_video_6c_v1,true,1.000000,video_features_v1/01_P04_20231115_18_47_32_15.npz::valid_mask,video_features_v1/01_P04_20231115_18_47_32_15.npz,"[10, 512]",float32,torchvision_r3d_18,0.24.1_kinetics400_v1,
01_P04_20231115_18_49_18_13,video,P04,P04_20231115_1849_18,val,"[""Upper_body_video_01/01_P04_20231115_18_49_18_13.mp4""]",0,0,10000,10000,No task,0,dcpt_video_6c_v1,true,1.000000,video_features_v1/01_P04_20231115_18_49_18_13.npz::valid_mask,video_features_v1/01_P04_20231115_18_49_18_13.npz,"[10, 512]",float32,torchvision_r3d_18,0.24.1_kinetics400_v1,
01_P05_20231116_10_33_05_21,video,P05,P05_20231116_1033_05,train,"[""Upper_body_video_01/01_P05_20231116_10_33_05_21.mp4""]",0,0,10000,10000,No task,0,dcpt_video_6c_v1,true,1.000000,video_features_v1/01_P05_20231116_10_33_05_21.npz::valid_mask,video_features_v1/01_P05_20231116_10_33_05_21.npz,"[10, 512]",float32,torchvision_r3d_18,0.24.1_kinetics400_v1,
01_P05_20231116_10_35_09_15,video,P05,P05_20231116_1035_09,train,"[""Upper_body_video_01/01_P05_20231116_10_35_09_15.mp4""]",0,0,10000,10000,No task,0,dcpt_video_6c_v1,true,1.000000,video_features_v1/01_P05_20231116_10_35_09_15.npz::valid_mask,video_features_v1/01_P05_20231116_10_35_09_15.npz,"[10, 512]",float32,torchvision_r3d_18,0.24.1_kinetics400_v1,
01_P05_20231116_10_38_41_11,video,P05,P05_20231116_1038_41,train,"[""Upper_body_video_01/01_P05_20231116_10_38_41_11.mp4""]",0,0,10000,10000,No task,0,dcpt_video_6c_v1,true,1.000000,video_features_v1/01_P05_20231116_10_38_41_11.npz::valid_mask,video_features_v1/01_P05_20231116_10_38_41_11.npz,"[10, 512]",float32,torchvision_r3d_18,0.24.1_kinetics400_v1,
01_P06_20231116_14_08_49_22,video,P06,P06_20231116_1408_49,train,"[""Upper_body_video_01/01_P06_20231116_14_08_49_22.mp4""]",0,0,10000,10000,No task,0,dcpt_video_6c_v1,true,1.000000,video_features_v1/01_P06_20231116_14_08_49_22.npz::valid_mask,video_features_v1/01_P06_20231116_14_08_49_22.npz,"[10, 512]",float32,torchvision_r3d_18,0.24.1_kinetics400_v1,
01_P06_20231116_14_11_09_24,video,P06,P06_20231116_1411_09,train,"[""Upper_body_video_01/01_P06_20231116_14_11_09_24.mp4""]",0,0,10000,10000,No task,0,dcpt_video_6c_v1,true,1.000000,video_features_v1/01_P06_20231116_14_11_09_24.npz::valid_mask,video_features_v1/01_P06_20231116_14_11_09_24.npz,"[10, 512]",float32,torchvision_r3d_18,0.24.1_kinetics400_v1,
01_P06_20231116_14_12_23_18,video,P06,P06_20231116_1412_23,train,"[""Upper_body_video_01/01_P06_20231116_14_12_23_18.mp4""]",0,0,10000,10000,No task,0,dcpt_video_6c_v1,true,1.000000,video_features_v1/01_P06_20231116_14_12_23_18.npz::valid_mask,video_features_v1/01_P06_20231116_14_12_23_18.npz,"[10, 512]",float32,torchvision_r3d_18,0.24.1_kinetics400_v1,
01_P07_20231116_16_28_41_20,video,P07,P07_20231116_1628_41,test,"[""Upper_body_video_01/01_P07_20231116_16_28_41_20.mp4""]",0,0,10000,10000,No task,0,dcpt_video_6c_v1,true,1.000000,video_features_v1/01_P07_20231116_16_28_41_20.npz::valid_mask,video_features_v1/01_P07_20231116_16_28_41_20.npz,"[10, 512]",float32,torchvision_r3d_18,0.24.1_kinetics400_v1,
01_P07_20231116_16_29_59_17,video,P07,P07_20231116_1629_59,test,"[""Upper_body_video_01/01_P07_20231116_16_29_59_17.mp4""]",0,0,10000,10000,No task,0,dcpt_video_6c_v1,true,1.000000,video_features_v1/01_P07_20231116_16_29_59_17.npz::valid_mask,video_features_v1/01_P07_20231116_16_29_59_17.npz,"[10, 512]",float32,torchvision_r3d_18,0.24.1_kinetics400_v1,
01_P07_20231116_16_31_19_22,video,P07,P07_20231116_1631_19,test,"[""Upper_body_video_01/01_P07_20231116_16_31_19_22.mp4""]",0,0,10000,10000,No task,0,dcpt_video_6c_v1,true,1.000000,video_features_v1/01_P07_20231116_16_31_19_22.npz::valid_mask,video_features_v1/01_P07_20231116_16_31_19_22.npz,"[10, 512]",float32,torchvision_r3d_18,0.24.1_kinetics400_v1,
01_P08_20231116_18_30_46_21,video,P08,P08_20231116_1830_46,test,"[""Upper_body_video_01/01_P08_20231116_18_30_46_21.mp4""]",0,0,10000,10000,No task,0,dcpt_video_6c_v1,true,1.000000,video_features_v1/01_P08_20231116_18_30_46_21.npz::valid_mask,video_features_v1/01_P08_20231116_18_30_46_21.npz,"[10, 512]",float32,torchvision_r3d_18,0.24.1_kinetics400_v1,
01_P08_20231116_18_32_00_15,video,P08,P08_20231116_1832_00,test,"[""Upper_body_video_01/01_P08_20231116_18_32_00_15.mp4""]",0,0,10000,10000,No task,0,dcpt_video_6c_v1,true,1.000000,video_features_v1/01_P08_20231116_18_32_00_15.npz::valid_mask,video_features_v1/01_P08_20231116_18_32_00_15.npz,"[10, 512]",float32,torchvision_r3d_18,0.24.1_kinetics400_v1,
01_P08_20231116_18_35_07_20,video,P08,P08_20231116_1835_07,test,"[""Upper_body_video_01/01_P08_20231116_18_35_07_20.mp4""]",0,0,10000,10000,No task,0,dcpt_video_6c_v1,true,1.000000,video_features_v1/01_P08_20231116_18_35_07_20.npz::valid_mask,video_features_v1/01_P08_20231116_18_35_07_20.npz,"[10, 512]",float32,torchvision_r3d_18,0.24.1_kinetics400_v1,
01_P09_20231117_09_27_35_19,video,P09,P09_20231117_0927_35,train,"[""Upper_body_video_01/01_P09_20231117_09_27_35_19.mp4""]",0,0,10000,10000,No task,0,dcpt_video_6c_v1,true,1.000000,video_features_v1/01_P09_20231117_09_27_35_19.npz::valid_mask,video_features_v1/01_P09_20231117_09_27_35_19.npz,"[10, 512]",float32,torchvision_r3d_18,0.24.1_kinetics400_v1,
01_P09_20231117_09_29_21_19,video,P09,P09_20231117_0929_21,train,"[""Upper_body_video_01/01_P09_20231117_09_29_21_19.mp4""]",0,0,10000,10000,No task,0,dcpt_video_6c_v1,true,1.000000,video_features_v1/01_P09_20231117_09_29_21_19.npz::valid_mask,video_features_v1/01_P09_20231117_09_29_21_19.npz,"[10, 512]",float32,torchvision_r3d_18,0.24.1_kinetics400_v1,
01_P09_20231117_09_31_24_11,video,P09,P09_20231117_0931_24,train,"[""Upper_body_video_01/01_P09_20231117_09_31_24_11.mp4""]",0,0,10000,10000,No task,0,dcpt_video_6c_v1,true,1.000000,video_features_v1/01_P09_20231117_09_31_24_11.npz::valid_mask,video_features_v1/01_P09_20231117_09_31_24_11.npz,"[10, 512]",float32,torchvision_r3d_18,0.24.1_kinetics400_v1,
01_P10_20231123_16_09_38_38,video,P10,P10_20231123_1609_38,val,"[""Upper_body_video_01/01_P10_20231123_16_09_38_38.mp4""]",0,0,10000,10000,No task,0,dcpt_video_6c_v1,true,1.000000,video_features_v1/01_P10_20231123_16_09_38_38.npz::valid_mask,video_features_v1/01_P10_20231123_16_09_38_38.npz,"[10, 512]",float32,torchvision_r3d_18,0.24.1_kinetics400_v1,
01_P10_20231123_16_11_43_22,video,P10,P10_20231123_1611_43,val,"[""Upper_body_video_01/01_P10_20231123_16_11_43_22.mp4""]",0,0,10000,10000,No task,0,dcpt_video_6c_v1,true,1.000000,video_features_v1/01_P10_20231123_16_11_43_22.npz::valid_mask,video_features_v1/01_P10_20231123_16_11_43_22.npz,"[10, 512]",float32,torchvision_r3d_18,0.24.1_kinetics400_v1,
01_P11_20231124_14_14_55_24,video,P11,P11_20231124_1414_55,train,"[""Upper_body_video_01/01_P11_20231124_14_14_55_24.mp4""]",0,0,10000,10000,No task,0,dcpt_video_6c_v1,true,1.000000,video_features_v1/01_P11_20231124_14_14_55_24.npz::valid_mask,video_features_v1/01_P11_20231124_14_14_55_24.npz,"[10, 512]",float32,torchvision_r3d_18,0.24.1_kinetics400_v1,
01_P11_20231124_14_16_49_18,video,P11,P11_20231124_1416_49,train,"[""Upper_body_video_01/01_P11_20231124_14_16_49_18.mp4""]",0,0,10000,10000,No task,0,dcpt_video_6c_v1,true,1.000000,video_features_v1/01_P11_20231124_14_16_49_18.npz::valid_mask,video_features_v1/01_P11_20231124_14_16_49_18.npz,"[10, 512]",float32,torchvision_r3d_18,0.24.1_kinetics400_v1,
01_P11_20231124_14_17_39_17,video,P11,P11_20231124_1417_39,train,"[""Upper_body_video_01/01_P11_20231124_14_17_39_17.mp4""]",0,0,10000,10000,No task,0,dcpt_video_6c_v1,true,1.000000,video_features_v1/01_P11_20231124_14_17_39_17.npz::valid_mask,video_features_v1/01_P11_20231124_14_17_39_17.npz,"[10, 512]",float32,torchvision_r3d_18,0.24.1_kinetics400_v1,
01_P12_20231125_14_08_35_21,video,P12,P12_20231125_1408_35,train,"[""Upper_body_video_01/01_P12_20231125_14_08_35_21.mp4""]",0,0,10000,10000,No task,0,dcpt_video_6c_v1,true,1.000000,video_features_v1/01_P12_20231125_14_08_35_21.npz::valid_mask,video_features_v1/01_P12_20231125_14_08_35_21.npz,"[10, 512]",float32,torchvision_r3d_18,0.24.1_kinetics400_v1,
01_P12_20231125_14_10_42_12,video,P12,P12_20231125_1410_42,train,"[""Upper_body_video_01/01_P12_20231125_14_10_42_12.mp4""]",0,0,10000,10000,No task,0,dcpt_video_6c_v1,true,1.000000,video_features_v1/01_P12_20231125_14_10_42_12.npz::valid_mask,video_features_v1/01_P12_20231125_14_10_42_12.npz,"[10, 512]",float32,torchvision_r3d_18,0.24.1_kinetics400_v1,
01_P12_20231125_14_12_29_17,video,P12,P12_20231125_1412_29,train,"[""Upper_body_video_01/01_P12_20231125_14_12_29_17.mp4""]",0,0,10000,10000,No task,0,dcpt_video_6c_v1,true,1.000000,video_features_v1/01_P12_20231125_14_12_29_17.npz::valid_mask,video_features_v1/01_P12_20231125_14_12_29_17.npz,"[10, 512]",float32,torchvision_r3d_18,0.24.1_kinetics400_v1,
01_P13_20231125_15_44_39_15,video,P13,P13_20231125_1544_39,train,"[""Upper_body_video_01/01_P13_20231125_15_44_39_15.mp4""]",0,0,10000,10000,No task,0,dcpt_video_6c_v1,true,1.000000,video_features_v1/01_P13_20231125_15_44_39_15.npz::valid_mask,video_features_v1/01_P13_20231125_15_44_39_15.npz,"[10, 512]",float32,torchvision_r3d_18,0.24.1_kinetics400_v1,
01_P13_20231125_15_46_03_17,video,P13,P13_20231125_1546_03,train,"[""Upper_body_video_01/01_P13_20231125_15_46_03_17.mp4""]",0,0,10000,10000,No task,0,dcpt_video_6c_v1,true,1.000000,video_features_v1/01_P13_20231125_15_46_03_17.npz::valid_mask,video_features_v1/01_P13_20231125_15_46_03_17.npz,"[10, 512]",float32,torchvision_r3d_18,0.24.1_kinetics400_v1,
01_P13_20231125_15_47_59_12,video,P13,P13_20231125_1547_59,train,"[""Upper_body_video_01/01_P13_20231125_15_47_59_12.mp4""]",0,0,10000,10000,No task,0,dcpt_video_6c_v1,true,1.000000,video_features_v1/01_P13_20231125_15_47_59_12.npz::valid_mask,video_features_v1/01_P13_20231125_15_47_59_12.npz,"[10, 512]",float32,torchvision_r3d_18,0.24.1_kinetics400_v1,
01_P14_20231128_14_34_21_19,video,P14,P14_20231128_1434_21,train,"[""Upper_body_video_01/01_P14_20231128_14_34_21_19.mp4""]",0,0,10000,10000,No task,0,dcpt_video_6c_v1,true,1.000000,video_features_v1/01_P14_20231128_14_34_21_19.npz::valid_mask,video_features_v1/01_P14_20231128_14_34_21_19.npz,"[10, 512]",float32,torchvision_r3d_18,0.24.1_kinetics400_v1,
01_P14_20231128_14_37_37_17,video,P14,P14_20231128_1437_37,train,"[""Upper_body_video_01/01_P14_20231128_14_37_37_17.mp4""]",0,0,10000,10000,No task,0,dcpt_video_6c_v1,true,1.000000,video_features_v1/01_P14_20231128_14_37_37_17.npz::valid_mask,video_features_v1/01_P14_20231128_14_37_37_17.npz,"[10, 512]",float32,torchvision_r3d_18,0.24.1_kinetics400_v1,
01_P14_20231128_14_38_39_14,video,P14,P14_20231128_1438_39,train,"[""Upper_body_video_01/01_P14_20231128_14_38_39_14.mp4""]",0,0,10000,10000,No task,0,dcpt_video_6c_v1,true,1.000000,video_features_v1/01_P14_20231128_14_38_39_14.npz::valid_mask,video_features_v1/01_P14_20231128_14_38_39_14.npz,"[10, 512]",float32,torchvision_r3d_18,0.24.1_kinetics400_v1,
01_P15_20231128_15_52_35_16,video,P15,P15_20231128_1552_35,test,"[""Upper_body_video_01/01_P15_20231128_15_52_35_16.mp4""]",0,0,10000,10000,No task,0,dcpt_video_6c_v1,false,0.900000,video_features_v1/01_P15_20231128_15_52_35_16.npz::valid_mask,video_features_v1/01_P15_20231128_15_52_35_16.npz,"[10, 512]",float32,torchvision_r3d_18,0.24.1_kinetics400_v1,coverage_below_0.95
01_P15_20231128_15_56_53_12,video,P15,P15_20231128_1556_53,test,"[""Upper_body_video_01/01_P15_20231128_15_56_53_12.mp4""]",0,0,10000,10000,No task,0,dcpt_video_6c_v1,true,1.000000,video_features_v1/01_P15_20231128_15_56_53_12.npz::valid_mask,video_features_v1/01_P15_20231128_15_56_53_12.npz,"[10, 512]",float32,torchvision_r3d_18,0.24.1_kinetics400_v1,
01_P16_20231130_13_09_24_21,video,P16,P16_20231130_1309_24,train,"[""Upper_body_video_01/01_P16_20231130_13_09_24_21.mp4""]",0,0,10000,10000,No task,0,dcpt_video_6c_v1,true,1.000000,video_features_v1/01_P16_20231130_13_09_24_21.npz::valid_mask,video_features_v1/01_P16_20231130_13_09_24_21.npz,"[10, 512]",float32,torchvision_r3d_18,0.24.1_kinetics400_v1,
01_P17_20231130_14_27_10_29,video,P17,P17_20231130_1427_10,train,"[""Upper_body_video_01/01_P17_20231130_14_27_10_29.mp4""]",0,0,10000,10000,No task,0,dcpt_video_6c_v1,true,1.000000,video_features_v1/01_P17_20231130_14_27_10_29.npz::valid_mask,video_features_v1/01_P17_20231130_14_27_10_29.npz,"[10, 512]",float32,torchvision_r3d_18,0.24.1_kinetics400_v1,
01_P17_20231130_14_28_18_29,video,P17,P17_20231130_1428_18,train,"[""Upper_body_video_01/01_P17_20231130_14_28_18_29.mp4""]",0,0,10000,10000,No task,0,dcpt_video_6c_v1,true,1.000000,video_features_v1/01_P17_20231130_14_28_18_29.npz::valid_mask,video_features_v1/01_P17_20231130_14_28_18_29.npz,"[10, 512]",float32,torchvision_r3d_18,0.24.1_kinetics400_v1,
01_P17_20231130_14_29_50_28,video,P17,P17_20231130_1429_50,train,"[""Upper_body_video_01/01_P17_20231130_14_29_50_28.mp4""]",0,0,10000,10000,No task,0,dcpt_video_6c_v1,true,1.000000,video_features_v1/01_P17_20231130_14_29_50_28.npz::valid_mask,video_features_v1/01_P17_20231130_14_29_50_28.npz,"[10, 512]",float32,torchvision_r3d_18,0.24.1_kinetics400_v1,
01_P18_20231130_18_39_50_21,video,P18,P18_20231130_1839_50,train,"[""Upper_body_video_01/01_P18_20231130_18_39_50_21.mp4""]",0,0,10000,10000,No task,0,dcpt_video_6c_v1,true,1.000000,video_features_v1/01_P18_20231130_18_39_50_21.npz::valid_mask,video_features_v1/01_P18_20231130_18_39_50_21.npz,"[10, 512]",float32,torchvision_r3d_18,0.24.1_kinetics400_v1,
01_P18_20231130_18_41_02_21,video,P18,P18_20231130_1841_02,train,"[""Upper_body_video_01/01_P18_20231130_18_41_02_21.mp4""]",0,0,10000,10000,No task,0,dcpt_video_6c_v1,true,1.000000,video_features_v1/01_P18_20231130_18_41_02_21.npz::valid_mask,video_features_v1/01_P18_20231130_18_41_02_21.npz,"[10, 512]",float32,torchvision_r3d_18,0.24.1_kinetics400_v1,
01_P18_20231130_18_42_10_17,video,P18,P18_20231130_1842_10,train,"[""Upper_body_video_01/01_P18_20231130_18_42_10_17.mp4""]",0,0,10000,10000,No task,0,dcpt_video_6c_v1,true,1.000000,video_features_v1/01_P18_20231130_18_42_10_17.npz::valid_mask,video_features_v1/01_P18_20231130_18_42_10_17.npz,"[10, 512]",float32,torchvision_r3d_18,0.24.1_kinetics400_v1,
01_P19_20231201_11_36_20_25,video,P19,P19_20231201_1136_20,train,"[""Upper_body_video_01/01_P19_20231201_11_36_20_25.mp4""]",0,0,10000,10000,No task,0,dcpt_video_6c_v1,true,1.000000,video_features_v1/01_P19_20231201_11_36_20_25.npz::valid_mask,video_features_v1/01_P19_20231201_11_36_20_25.npz,"[10, 512]",float32,torchvision_r3d_18,0.24.1_kinetics400_v1,
01_P19_20231201_11_37_20_20,video,P19,P19_20231201_1137_20,train,"[""Upper_body_video_01/01_P19_20231201_11_37_20_20.mp4""]",0,0,10000,10000,No task,0,dcpt_video_6c_v1,true,1.000000,video_features_v1/01_P19_20231201_11_37_20_20.npz::valid_mask,video_features_v1/01_P19_20231201_11_37_20_20.npz,"[10, 512]",float32,torchvision_r3d_18,0.24.1_kinetics400_v1,
01_P19_20231201_11_38_37_15,video,P19,P19_20231201_1138_37,train,"[""Upper_body_video_01/01_P19_20231201_11_38_37_15.mp4""]",0,0,10000,10000,No task,0,dcpt_video_6c_v1,true,1.000000,video_features_v1/01_P19_20231201_11_38_37_15.npz::valid_mask,video_features_v1/01_P19_20231201_11_38_37_15.npz,"[10, 512]",float32,torchvision_r3d_18,0.24.1_kinetics400_v1,
01_P20_20231201_15_52_10_19,video,P20,P20_20231201_1552_10,val,"[""Upper_body_video_01/01_P20_20231201_15_52_10_19.mp4""]",0,0,10000,10000,No task,0,dcpt_video_6c_v1,true,1.000000,video_features_v1/01_P20_20231201_15_52_10_19.npz::valid_mask,video_features_v1/01_P20_20231201_15_52_10_19.npz,"[10, 512]",float32,torchvision_r3d_18,0.24.1_kinetics400_v1,
01_P20_20231201_15_54_22_16,video,P20,P20_20231201_1554_22,val,"[""Upper_body_video_01/01_P20_20231201_15_54_22_16.mp4""]",0,0,10000,10000,No task,0,dcpt_video_6c_v1,true,1.000000,video_features_v1/01_P20_20231201_15_54_22_16.npz::valid_mask,video_features_v1/01_P20_20231201_15_54_22_16.npz,"[10, 512]",float32,torchvision_r3d_18,0.24.1_kinetics400_v1,
01_P20_20231201_15_56_29_15,video,P20,P20_20231201_1556_29,val,"[""Upper_body_video_01/01_P20_20231201_15_56_29_15.mp4""]",0,0,10000,10000,No task,0,dcpt_video_6c_v1,true,1.000000,video_features_v1/01_P20_20231201_15_56_29_15.npz::valid_mask,video_features_v1/01_P20_20231201_15_56_29_15.npz,"[10, 512]",float32,torchvision_r3d_18,0.24.1_kinetics400_v1,
01_P21_20231207_14_21_56_19,video,P21,P21_20231207_1421_56,test,"[""Upper_body_video_01/01_P21_20231207_14_21_56_19.mp4""]",0,0,10000,10000,No task,0,dcpt_video_6c_v1,true,1.000000,video_features_v1/01_P21_20231207_14_21_56_19.npz::valid_mask,video_features_v1/01_P21_20231207_14_21_56_19.npz,"[10, 512]",float32,torchvision_r3d_18,0.24.1_kinetics400_v1,
01_P21_20231207_14_26_05_12,video,P21,P21_20231207_1426_05,test,"[""Upper_body_video_01/01_P21_20231207_14_26_05_12.mp4""]",0,0,10000,10000,No task,0,dcpt_video_6c_v1,true,1.000000,video_features_v1/01_P21_20231207_14_26_05_12.npz::valid_mask,video_features_v1/01_P21_20231207_14_26_05_12.npz,"[10, 512]",float32,torchvision_r3d_18,0.24.1_kinetics400_v1,
01_P21_20231207_14_27_31_09,video,P21,P21_20231207_1427_31,test,"[""Upper_body_video_01/01_P21_20231207_14_27_31_09.mp4""]",0,0,10000,10000,No task,0,dcpt_video_6c_v1,true,1.000000,video_features_v1/01_P21_20231207_14_27_31_09.npz::valid_mask,video_features_v1/01_P21_20231207_14_27_31_09.npz,"[10, 512]",float32,torchvision_r3d_18,0.24.1_kinetics400_v1,
01_P22_20231207_15_38_37_19,video,P22,P22_20231207_1538_37,train,"[""Upper_body_video_01/01_P22_20231207_15_38_37_19.mp4""]",0,0,10000,10000,No task,0,dcpt_video_6c_v1,true,1.000000,video_features_v1/01_P22_20231207_15_38_37_19.npz::valid_mask,video_features_v1/01_P22_20231207_15_38_37_19.npz,"[10, 512]",float32,torchvision_r3d_18,0.24.1_kinetics400_v1,
01_P22_20231207_15_39_59_14,video,P22,P22_20231207_1539_59,train,"[""Upper_body_video_01/01_P22_20231207_15_39_59_14.mp4""]",0,0,10000,10000,No task,0,dcpt_video_6c_v1,true,1.000000,video_features_v1/01_P22_20231207_15_39_59_14.npz::valid_mask,video_features_v1/01_P22_20231207_15_39_59_14.npz,"[10, 512]",float32,torchvision_r3d_18,0.24.1_kinetics400_v1,
01_P22_20231207_15_40_49_14,video,P22,P22_20231207_1540_49,train,"[""Upper_body_video_01/01_P22_20231207_15_40_49_14.mp4""]",0,0,10000,10000,No task,0,dcpt_video_6c_v1,false,0.900000,video_features_v1/01_P22_20231207_15_40_49_14.npz::valid_mask,video_features_v1/01_P22_20231207_15_40_49_14.npz,"[10, 512]",float32,torchvision_r3d_18,0.24.1_kinetics400_v1,coverage_below_0.95
01_P23_20231208_09_10_07_27,video,P23,P23_20231208_0910_07,train,"[""Upper_body_video_01/01_P23_20231208_09_10_07_27.mp4""]",0,0,10000,10000,No task,0,dcpt_video_6c_v1,true,1.000000,video_features_v1/01_P23_20231208_09_10_07_27.npz::valid_mask,video_features_v1/01_P23_20231208_09_10_07_27.npz,"[10, 512]",float32,torchvision_r3d_18,0.24.1_kinetics400_v1,
01_P23_20231208_09_11_47_21,video,P23,P23_20231208_0911_47,train,"[""Upper_body_video_01/01_P23_20231208_09_11_47_21.mp4""]",0,0,10000,10000,No task,0,dcpt_video_6c_v1,true,1.000000,video_features_v1/01_P23_20231208_09_11_47_21.npz::valid_mask,video_features_v1/01_P23_20231208_09_11_47_21.npz,"[10, 512]",float32,torchvision_r3d_18,0.24.1_kinetics400_v1,
01_P23_20231208_09_13_13_26,video,P23,P23_20231208_0913_13,train,"[""Upper_body_video_01/01_P23_20231208_09_13_13_26.mp4""]",0,0,10000,10000,No task,0,dcpt_video_6c_v1,true,1.000000,video_features_v1/01_P23_20231208_09_13_13_26.npz::valid_mask,video_features_v1/01_P23_20231208_09_13_13_26.npz,"[10, 512]",float32,torchvision_r3d_18,0.24.1_kinetics400_v1,
